key,english,nepali,newari
nav.home,Home,गृहपृष्ठ,छेँ पाना
nav.products,Products,सामान,सामान
nav.social,Social Media,सामाजिक सञ्जाल,सामाजिक नेटवर्क
nav.cart,Cart,कार्ट,कार्ट
nav.checkout,Checkout,चेकआउट,चेकआउट
lang.en,English,English,English
lang.ne,Nepali,नेपाली,नेपाली
lang.newa,Newari,नेवाः,नेवाः
hero.title,Handcrafted Metal Kitchenware,हस्तनिर्मित धातुका भान्साका सामग्री,हस्तनिर्मित धातु भान्सा सामान
hero.subtitle,"Premium copper, brass & bronze kitchenware from Kathmandu","काठमाडौँबाट उच्च गुणस्तरका तामा, पित्तल र काँसका भान्साका सामग्री ","येँ देय् उच्च गुणस्तरया तामा, पित्तल व काँस भान्सा सामान"
hero.cta,Shop Now,खरिद गर्नुहोस्,न्या
products.title,Our Products,हाम्रा सामान,जिगु सामान
products.all,All,सबै,फुक्व
products.copper,Copper,तामा,तामा
products.brass,Brass,पित्तल,पित्तल
products.bronze,Bronze,काँस,काँस
products.steel,Steel,स्टिल,स्टिल
products.kitchenware,Kitchenware,भान्साका सामग्री,भान्सा सामान
products.inStock,In Stock,उपलब्ध छ,दु
products.outOfStock,Out of Stock,उपलब्ध छैन,मरु
products.addToCart,Add to Cart,कार्टमा थप्नुहोस्,कार्टये त्येगु
products.added,Added!,थपियो!,त्ये धुना!
products.goToCheckout,Go to Checkout,चेकआउटमा जानुहोस्,चेकआउटया वनेगु
products.sale,Sale,छुट,छुट
products.selectSize,Select Size,साइज छान्नुहोस्,साइज ल्हा
products.selectMaterial,Select Material,धातु छान्नुहोस्,धातु ल्हा
products.selectFinish,Select Finish,फिनिस छान्नुहोस्,फिनिस ल्हा
products.featured,Featured Products,विशेष सामान,विशेष सामान
products.shopByCategory,Shop by Category,श्रेणी अनुसार किनमेल गर्नुहोस्,वर्ग अनुसार न्या
products.noProducts,No products yet. Check back soon!,हाल कुनै सामान उपलब्ध छैन। पछि फेरि हेर्नुहोस्।,गुये सामान मरु। लिपा स्वेबिज्याउ।
cart.title,Your Cart,तपाईंको कार्ट,छ्वय् कार्ट
cart.empty,Your cart is empty,तपाईंको कार्ट खाली छ,छ्वय् कार्ट खाली दु
cart.subtotal,Subtotal,उपकुल,उपकुल
cart.remove,Remove,हटाउनुहोस्,लिक्यागु
cart.continueShopping,Continue Shopping,किनमा जारी राख्नुहोस्,न्याउ जारी या
cart.checkout,Checkout,चेकआउट,चेकआउट
checkout.title,Checkout,चेकआउट,चेकआउट
checkout.name,Your Name,तपाईंको नाम,जिगु नां
checkout.phone,Phone Number,फोन नम्बर,फोन नम्बर
checkout.deliveryPoint,Delivery Point (tap the map),डेलिभरी बिन्दु (नक्सामा ट्याप गर्नुहोस्),डेलिभरी स्थान (नक्साय् ट्याप याना)
checkout.note,Note (optional),नोट (वैकल्पिक),टिप्पणी (वैकल्पिक)
checkout.notePlaceholder,Any special instructions...,कुनै विशेष निर्देशनहरू...,विशेष निर्देशन दुसा...
checkout.orderWhatsApp,Order via WhatsApp,WhatsApp मार्फत अर्डर गर्नुहोस्,WhatsApp यानाः अर्डर या
checkout.orderMessenger,Order via Messenger,Messenger मार्फत अर्डर गर्नुहोस्,Messenger यानाः अर्डर याना
checkout.pinSet,Pin set — tap Order to continue,पिन सेट भयो — अर्डर गर्न ट्याप गर्नुहोस्,पिन सेट जुला — अर्डर याता ट्याप या
checkout.orderSummary,Order Summary,अर्डर सारांश,अर्डर सारांश
checkout.customerInfo,Customer Information,ग्राहक जानकारी,ग्राहक जानकारी
social.title,Follow Us,हामीलाई फलो गर्नुहोस्,झीता फलो या
social.facebook,Facebook,Facebook,Facebook
social.instagram,Instagram,Instagram,Instagram
social.tiktok,TikTok,TikTok,TikTok
social.follow,Follow,फलो,फलो
social.latestPosts,Latest Posts,नवीनतम पोस्टहरू,न्ह्यः पोस्ट
social.noPosts,No posts yet. Add them in /admin.,अहिलेसम्म कुनै पोस्ट छैन। /admin मा थप्नुहोस्।,गुये पोस्ट मरु। /admin य् तयेकु।
share.title,Share this product,यो सामान साझा गर्नुहोस्,थ्व सामान सेयर या
share.whatsapp,Share on WhatsApp,WhatsApp मा साझा गर्नुहोस्,WhatsApp य् सेयर या
share.facebook,Share on Facebook,Facebook मा साझा गर्नुहोस्,Facebook य् सेयर या
share.twitter,Share on Twitter,Twitter मा साझा गर्नुहोस्,Twitter य् सेयर या
share.copyLink,Copy Link,लिंक कपी गर्नुहोस्,लिंक कपी या
share.copied,Copied!,कपी भयो!,कपी जुल!
footer.rights,All rights reserved,सर्वाधिकार सुरक्षित,फुक्व अधिकार सुरक्षित
footer.madeIn,Made in Nepal,नेपालमा निर्मित,नेपालये देकिगु
